epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0799,1.35932,3.02661,1.04407,0.00617,0.46406,0.17436,0.09929,1.20203,3.40833,0.94807,0.00036436,0.00036436,0.00036436
2,51.6061,1.30389,1.7201,1.05293,0.69423,0.3938,0.47325,0.26355,1.22115,1.76052,1.04509,0.000710449,0.000710449,0.000710449
3,67.3168,1.30345,1.53142,1.05089,0.70257,0.49352,0.54213,0.31218,1.18251,1.26079,1.07839,0.0010321,0.0010321,0.0010321
4,83.5405,1.23791,1.41959,1.05134,0.65278,0.48821,0.5079,0.31374,1.08596,1.21071,1.03592,0.00100101,0.00100101,0.00100101
5,99.0803,1.17211,1.2698,1.02438,0.7479,0.60475,0.59257,0.36459,1.09065,1.02358,1.00825,0.000964348,0.000964348,0.000964348
6,115.113,1.14754,1.15018,1.00696,0.70785,0.58712,0.59103,0.35994,1.11483,1.02445,1.04909,0.000927685,0.000927685,0.000927685
7,131.314,1.15681,1.09894,1.02145,0.8075,0.60773,0.68669,0.42239,1.03187,0.87212,1.01257,0.000891022,0.000891022,0.000891022
8,147.167,1.08279,1.00744,0.98877,0.71124,0.69798,0.7003,0.42872,1.07675,0.87885,1.00159,0.000854359,0.000854359,0.000854359
9,162.598,1.05788,0.93972,0.98405,0.69522,0.71856,0.69703,0.45089,1.00146,0.85877,0.98114,0.000817696,0.000817696,0.000817696
10,178.118,1.03937,0.90643,0.9721,0.73239,0.7022,0.74481,0.4658,0.94977,0.79194,0.97934,0.000781033,0.000781033,0.000781033
11,194.139,1.05738,0.89178,0.96877,0.78738,0.72021,0.74769,0.46316,1.02628,0.8268,1.01196,0.00074437,0.00074437,0.00074437
12,209.598,1.04491,0.85489,0.95914,0.87676,0.62734,0.72568,0.45289,1.00216,0.80831,1.01158,0.000707707,0.000707707,0.000707707
13,225.427,1.0163,0.81,0.94683,0.66948,0.76563,0.74085,0.45646,0.98649,0.83006,0.9907,0.000671044,0.000671044,0.000671044
14,242.043,0.98542,0.78743,0.95718,0.7341,0.73249,0.76452,0.49261,0.94178,0.7835,0.96784,0.000634381,0.000634381,0.000634381
15,258.008,0.99926,0.78486,0.96043,0.80182,0.7169,0.76718,0.49959,0.97516,0.73009,0.98698,0.000597718,0.000597718,0.000597718
16,273.916,0.94528,0.73797,0.9375,0.78565,0.6927,0.74778,0.47002,0.97404,0.76352,0.99138,0.000561055,0.000561055,0.000561055
17,290.326,0.92288,0.71141,0.93006,0.83819,0.73861,0.7856,0.51332,0.91619,0.68823,0.96913,0.000524392,0.000524392,0.000524392
18,306.536,0.938,0.70295,0.94053,0.8513,0.71965,0.79098,0.50105,0.97308,0.68332,0.9914,0.000487729,0.000487729,0.000487729
19,321.884,0.88977,0.65846,0.92093,0.81728,0.77253,0.79743,0.51997,0.90034,0.67737,0.96645,0.000451066,0.000451066,0.000451066
20,337.957,0.8939,0.66117,0.92643,0.80311,0.76368,0.7786,0.50808,0.92933,0.69064,0.96808,0.000414403,0.000414403,0.000414403
21,397.868,0.91585,0.7107,0.92009,0.75421,0.7487,0.77591,0.50113,0.95051,0.70523,0.98019,0.00037774,0.00037774,0.00037774
22,413.247,0.89513,0.6809,0.91951,0.84745,0.71668,0.79638,0.52352,0.92525,0.66195,0.99089,0.000341077,0.000341077,0.000341077
23,429.598,0.87281,0.65021,0.91522,0.79919,0.80251,0.79945,0.50361,0.91257,0.65064,0.97425,0.000304414,0.000304414,0.000304414
24,444.809,0.85124,0.64647,0.91134,0.8143,0.79462,0.79205,0.51885,0.9005,0.65095,0.98053,0.000267751,0.000267751,0.000267751
25,459.789,0.8494,0.62827,0.89649,0.83594,0.7603,0.78902,0.53085,0.89638,0.66041,0.96597,0.000231088,0.000231088,0.000231088
26,475.282,0.85692,0.63275,0.89636,0.84048,0.77974,0.79394,0.51732,0.89868,0.66104,0.96928,0.000194425,0.000194425,0.000194425
27,491.689,0.82762,0.60403,0.8987,0.83797,0.76708,0.79292,0.52663,0.9073,0.63197,0.97383,0.000157762,0.000157762,0.000157762
28,507.443,0.81781,0.5937,0.8872,0.8699,0.75068,0.78945,0.52471,0.87441,0.64529,0.96281,0.000121099,0.000121099,0.000121099
29,522.535,0.79732,0.58043,0.87995,0.84209,0.7642,0.80354,0.53853,0.8534,0.62378,0.9587,8.4436e-05,8.4436e-05,8.4436e-05
30,538.224,0.77859,0.57,0.87563,0.77665,0.82026,0.80382,0.53833,0.83927,0.60642,0.95275,4.7773e-05,4.7773e-05,4.7773e-05
