epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2186,1.3136,2.84718,1.01978,0.01151,0.42423,0.17354,0.12723,1.07634,3.45367,0.91262,0.000360046,0.000360046,0.000360046
2,31.2528,1.23736,1.63154,1.00435,1,0.03457,0.29311,0.19463,1.10545,2.9486,0.95644,0.000706277,0.000706277,0.000706277
3,41.0509,1.17347,1.37784,0.99061,0.71962,0.38721,0.48998,0.29484,1.14621,1.72959,0.99466,0.00102807,0.00102807,0.00102807
4,51.1133,1.15135,1.31973,0.99508,0.50194,0.57187,0.56995,0.36132,1.08774,1.19993,0.97738,0.00100101,0.00100101,0.00100101
5,61.7843,1.12529,1.19266,0.98041,0.65606,0.63198,0.68429,0.41395,1.03096,0.96307,0.96908,0.000964348,0.000964348,0.000964348
6,71.9182,1.07583,1.10085,0.96108,0.83952,0.65011,0.73507,0.43334,1.07551,0.94654,0.95997,0.000927685,0.000927685,0.000927685
7,81.9912,1.05169,1.03352,0.95558,0.67788,0.70551,0.72244,0.44135,1.02169,0.88785,0.9738,0.000891022,0.000891022,0.000891022
8,91.8572,1.04642,0.9375,0.95169,0.75613,0.6554,0.76881,0.46861,1.03041,0.85388,0.94868,0.000854359,0.000854359,0.000854359
9,101.525,1.02621,0.89674,0.94905,0.78913,0.68262,0.74198,0.44866,1.03039,0.80442,0.96184,0.000817696,0.000817696,0.000817696
10,110.891,1.00786,0.84554,0.93334,0.85634,0.70032,0.80664,0.51195,0.95001,0.79746,0.93798,0.000781033,0.000781033,0.000781033
11,119.967,1.00389,0.81625,0.9338,0.8361,0.75537,0.80846,0.52275,0.96951,0.73855,0.94527,0.00074437,0.00074437,0.00074437
12,129.2,0.95266,0.77887,0.92281,0.7832,0.80805,0.79708,0.51106,0.9217,0.71822,0.92328,0.000707707,0.000707707,0.000707707
13,138.459,0.95033,0.75115,0.9319,0.79099,0.79338,0.82755,0.514,0.97685,0.7192,0.95798,0.000671044,0.000671044,0.000671044
14,148.029,0.94101,0.71741,0.92273,0.77097,0.83442,0.7972,0.51189,0.9697,0.69272,0.94699,0.000634381,0.000634381,0.000634381
15,157.85,0.91052,0.69527,0.92032,0.84554,0.79038,0.81933,0.52026,0.96417,0.70152,0.94387,0.000597718,0.000597718,0.000597718
16,168.155,0.9151,0.68193,0.9164,0.82145,0.75573,0.80664,0.53325,0.95695,0.69938,0.942,0.000561055,0.000561055,0.000561055
17,177.658,0.86424,0.64686,0.9007,0.7732,0.79596,0.81243,0.53201,0.90136,0.67675,0.92338,0.000524392,0.000524392,0.000524392
18,186.921,0.88114,0.64716,0.90751,0.75158,0.78773,0.82764,0.54167,0.9203,0.64553,0.93201,0.000487729,0.000487729,0.000487729
19,196.247,0.87297,0.62804,0.89969,0.83343,0.78713,0.83532,0.55518,0.86529,0.6316,0.90707,0.000451066,0.000451066,0.000451066
20,205.685,0.84651,0.61683,0.89544,0.84813,0.80175,0.80616,0.53634,0.89919,0.63209,0.92495,0.000414403,0.000414403,0.000414403
21,269.677,0.86099,0.65104,0.88927,0.77776,0.80214,0.83149,0.561,0.88844,0.64326,0.92484,0.00037774,0.00037774,0.00037774
22,280.065,0.85635,0.63135,0.88896,0.84662,0.77447,0.82689,0.55949,0.88397,0.63637,0.92807,0.000341077,0.000341077,0.000341077
23,290.232,0.8396,0.61148,0.88089,0.83523,0.79238,0.82307,0.55747,0.89038,0.60769,0.91768,0.000304414,0.000304414,0.000304414
24,300.519,0.84824,0.60697,0.88429,0.87137,0.80355,0.83445,0.56055,0.85911,0.59467,0.91097,0.000267751,0.000267751,0.000267751
25,311.054,0.8016,0.58172,0.86271,0.89279,0.76784,0.83138,0.5533,0.89472,0.60064,0.92156,0.000231088,0.000231088,0.000231088
26,320.206,0.80739,0.56646,0.87697,0.83922,0.80324,0.83603,0.56592,0.87058,0.60505,0.92197,0.000194425,0.000194425,0.000194425
27,329.392,0.78306,0.56062,0.87515,0.89228,0.81806,0.84175,0.57056,0.87628,0.5869,0.92385,0.000157762,0.000157762,0.000157762
28,338.436,0.76509,0.5411,0.8677,0.89362,0.81617,0.84421,0.5858,0.83932,0.57286,0.91163,0.000121099,0.000121099,0.000121099
29,351.39,0.74906,0.5332,0.86058,0.85045,0.81092,0.84084,0.58388,0.83403,0.5632,0.90884,8.4436e-05,8.4436e-05,8.4436e-05
30,360.81,0.75523,0.52125,0.8754,0.88512,0.78932,0.83933,0.57689,0.83357,0.56683,0.91192,4.7773e-05,4.7773e-05,4.7773e-05
