epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.85,1.16702,1.8896,1.00886,0.61676,0.60028,0.65909,0.38918,1.09558,1.06812,1.06187,0.000369788,0.000369788,0.000369788
2,224.983,1.31187,1.46284,1.14078,0.62845,0.45803,0.46458,0.23555,1.39897,1.55942,1.37961,0.000715697,0.000715697,0.000715697
3,326.708,1.3564,1.43616,1.1033,0.65653,0.44699,0.50256,0.27394,1.28648,1.39823,1.2753,0.00103716,0.00103716,0.00103716
4,427.931,1.31367,1.33997,1.12277,0.75072,0.52691,0.6118,0.33371,1.30863,1.13525,1.25047,0.00100101,0.00100101,0.00100101
5,529.494,1.30275,1.1695,1.12812,0.51608,0.5118,0.55484,0.28965,1.45415,1.28874,1.35268,0.000964348,0.000964348,0.000964348
6,633.07,1.27907,1.06837,1.10169,0.55969,0.397,0.43114,0.23089,1.48608,1.54748,1.38748,0.000927685,0.000927685,0.000927685
7,735.285,1.21864,0.97862,1.09497,0.73702,0.63614,0.6367,0.38747,1.10209,1.07113,1.16082,0.000891022,0.000891022,0.000891022
8,836.399,1.18842,0.96315,1.04928,0.87941,0.58473,0.71312,0.41526,1.25529,0.95461,1.24656,0.000854359,0.000854359,0.000854359
9,938.805,1.15058,0.8842,1.05082,0.74953,0.63751,0.70485,0.44055,1.09533,0.98581,1.15833,0.000817696,0.000817696,0.000817696
10,1040.77,1.18152,0.8778,1.06396,0.61143,0.75427,0.71988,0.42564,1.16473,0.97176,1.19163,0.000781033,0.000781033,0.000781033
11,1141.59,1.11916,0.85293,1.02738,0.76641,0.6973,0.73072,0.43732,1.15668,0.9809,1.14888,0.00074437,0.00074437,0.00074437
12,1242.34,1.0756,0.86346,1.00995,0.8249,0.68384,0.79014,0.48499,1.0514,0.87417,1.13896,0.000707707,0.000707707,0.000707707
13,1344.91,1.07562,0.73343,1.00523,0.85482,0.7328,0.81366,0.52262,1.00601,0.7492,1.08317,0.000671044,0.000671044,0.000671044
14,1445.49,1.03683,0.75297,0.98628,0.82164,0.712,0.82678,0.5374,1.01606,0.75421,1.08541,0.000634381,0.000634381,0.000634381
15,1547.71,1.03157,0.72703,0.99693,0.6862,0.76733,0.80031,0.52518,1.02211,0.8051,1.07961,0.000597718,0.000597718,0.000597718
16,1648.96,0.98847,0.6867,0.95996,0.81649,0.76512,0.82838,0.54296,0.97018,0.70823,1.07996,0.000561055,0.000561055,0.000561055
17,1751.87,1.01067,0.66871,0.99623,0.81749,0.77311,0.848,0.52627,1.01942,0.76251,1.08297,0.000524392,0.000524392,0.000524392
18,1852.11,0.96499,0.67456,0.96953,0.84813,0.66389,0.84061,0.5428,0.98029,0.72629,1.06332,0.000487729,0.000487729,0.000487729
19,1955.07,0.92135,0.64286,0.95266,0.82229,0.79232,0.84638,0.56729,0.98008,0.6906,1.08312,0.000451066,0.000451066,0.000451066
20,2056.72,0.93451,0.6166,0.93222,0.81904,0.76691,0.81101,0.51482,0.98734,0.69737,1.0718,0.000414403,0.000414403,0.000414403
21,2188.84,0.84498,0.53751,0.8223,0.83289,0.77614,0.82844,0.53629,0.96079,0.71722,1.04914,0.00037774,0.00037774,0.00037774
22,2289.02,0.83875,0.5141,0.80757,0.85591,0.79724,0.8478,0.55948,0.91432,0.63179,1.02392,0.000341077,0.000341077,0.000341077
23,2389.58,0.79339,0.48116,0.79657,0.83553,0.77809,0.85849,0.5859,0.85662,0.6346,1.01103,0.000304414,0.000304414,0.000304414
24,2490.52,0.77894,0.4653,0.79387,0.8825,0.83369,0.87832,0.59704,0.85653,0.58159,1.01254,0.000267751,0.000267751,0.000267751
25,2592.29,0.77532,0.4699,0.78868,0.80948,0.83983,0.87252,0.59656,0.85287,0.59224,1.00986,0.000231088,0.000231088,0.000231088
26,2693.3,0.72905,0.43475,0.79252,0.84241,0.8573,0.8763,0.58307,0.86736,0.55474,1.01122,0.000194425,0.000194425,0.000194425
27,2792.51,0.71478,0.42012,0.77766,0.81962,0.85639,0.87195,0.58305,0.82928,0.57973,0.99409,0.000157762,0.000157762,0.000157762
28,2894.46,0.67955,0.40844,0.76108,0.82931,0.87036,0.88065,0.59923,0.83394,0.57135,0.99153,0.000121099,0.000121099,0.000121099
29,2995.23,0.69322,0.3961,0.76601,0.83312,0.86146,0.88938,0.60324,0.82227,0.56369,0.99093,8.4436e-05,8.4436e-05,8.4436e-05
30,3096.17,0.67756,0.39205,0.7617,0.84241,0.85353,0.89107,0.59621,0.82447,0.56846,0.99149,4.7773e-05,4.7773e-05,4.7773e-05
