epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.734,1.15255,2.03358,1.01892,0.58248,0.5072,0.55743,0.30864,1.33293,1.33515,1.21759,0.000369788,0.000369788,0.000369788
2,344.543,1.4234,1.76161,1.2488,0.50172,0.16009,0.14593,0.07197,2.51199,47.5767,2.2583,0.000715697,0.000715697,0.000715697
3,510.27,1.46202,1.65398,1.20269,0.5041,0.20595,0.17421,0.09602,2.19642,3.13396,2.2363,0.00103716,0.00103716,0.00103716
4,679.002,1.44631,1.52194,1.25889,0.5113,0.49954,0.40427,0.21922,1.30797,2.08516,1.32953,0.00100101,0.00100101,0.00100101
5,848.557,1.3841,1.29912,1.23472,0.64518,0.47866,0.50527,0.27687,1.29212,1.57202,1.31866,0.000964348,0.000964348,0.000964348
6,1019.27,1.32382,1.21004,1.15894,0.44009,0.13893,0.13567,0.0673,3.23976,4.34269,2.86751,0.000927685,0.000927685,0.000927685
7,1196.71,1.25437,1.065,1.12998,0.56887,0.26285,0.26608,0.1285,2.0362,2.72611,1.79681,0.000891022,0.000891022,0.000891022
8,1366.05,1.26938,1.04141,1.1098,0.57127,0.47447,0.46486,0.26314,1.49605,1.88181,1.43592,0.000854359,0.000854359,0.000854359
9,1541.75,1.22082,0.92321,1.10149,0.70376,0.6148,0.67132,0.40073,1.13558,1.01737,1.18378,0.000817696,0.000817696,0.000817696
10,1715.92,1.23428,0.90431,1.10626,0.73123,0.62571,0.69043,0.40641,1.1084,1.26241,1.1751,0.000781033,0.000781033,0.000781033
11,1887.18,1.16455,0.93657,1.06201,0.76242,0.61841,0.69382,0.39478,1.15538,0.96713,1.18062,0.00074437,0.00074437,0.00074437
12,2060.42,1.10838,0.91788,1.03967,0.80284,0.62402,0.70213,0.45097,1.06295,1.05842,1.13818,0.000707707,0.000707707,0.000707707
13,2234.7,1.12426,0.7961,1.02557,0.75657,0.63314,0.71815,0.46154,1.0928,0.92282,1.16943,0.000671044,0.000671044,0.000671044
14,2407.74,1.10758,0.89571,1.01682,0.75388,0.69796,0.73807,0.4928,0.97976,0.87883,1.09891,0.000634381,0.000634381,0.000634381
15,2583.32,1.07674,0.79794,1.0386,0.72621,0.70757,0.77033,0.48418,1.06293,0.87596,1.11689,0.000597718,0.000597718,0.000597718
16,2762.65,1.04498,0.74665,1.01245,0.8229,0.73409,0.80296,0.50694,0.99011,0.77877,1.09372,0.000561055,0.000561055,0.000561055
17,2940.46,1.05779,0.72191,1.02662,0.83047,0.69921,0.79528,0.4956,1.02267,0.88737,1.10968,0.000524392,0.000524392,0.000524392
18,3115.08,0.99907,0.73472,0.98878,0.68281,0.73054,0.74699,0.47619,0.98461,0.94184,1.09256,0.000487729,0.000487729,0.000487729
19,3293.61,0.98787,0.68633,0.98386,0.81646,0.72761,0.8033,0.54035,0.94047,0.91872,1.07657,0.000451066,0.000451066,0.000451066
20,3470.42,0.93727,0.63942,0.9482,0.76545,0.65915,0.76231,0.49515,0.9731,0.86102,1.08654,0.000414403,0.000414403,0.000414403
21,3672.52,0.86431,0.56943,0.84609,0.86614,0.77152,0.83877,0.56094,0.95068,0.77375,1.08493,0.00037774,0.00037774,0.00037774
22,3852.7,0.85264,0.53634,0.82445,0.88198,0.76308,0.81962,0.54384,0.92543,0.70405,1.0629,0.000341077,0.000341077,0.000341077
23,4030.03,0.81501,0.49703,0.81542,0.81717,0.78439,0.82212,0.54771,0.90564,0.77309,1.05215,0.000304414,0.000304414,0.000304414
24,4208.12,0.81797,0.48963,0.81664,0.81028,0.78858,0.85037,0.58485,0.84429,0.70694,1.03494,0.000267751,0.000267751,0.000267751
25,4386.58,0.79692,0.4945,0.8009,0.78559,0.78961,0.84106,0.55359,0.87572,0.71612,1.03805,0.000231088,0.000231088,0.000231088
26,4565.71,0.76054,0.4751,0.80201,0.84196,0.81699,0.85336,0.58454,0.87133,0.68329,1.03922,0.000194425,0.000194425,0.000194425
27,4745.49,0.73896,0.44339,0.7941,0.85953,0.81239,0.86545,0.58366,0.87122,0.7024,1.03455,0.000157762,0.000157762,0.000157762
28,4926.45,0.70218,0.43257,0.77169,0.85529,0.7845,0.84705,0.57252,0.87776,0.78033,1.03595,0.000121099,0.000121099,0.000121099
29,5094.5,0.70665,0.42799,0.77876,0.84234,0.81703,0.85796,0.5911,0.85585,0.69202,1.03537,8.4436e-05,8.4436e-05,8.4436e-05
30,5259.57,0.68655,0.40401,0.77294,0.8743,0.79765,0.8434,0.57909,0.85861,0.71591,1.02792,4.7773e-05,4.7773e-05,4.7773e-05
