epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.9582,1.21578,1.47562,1.10583,0.87637,0.6503,0.76359,0.48372,0.98504,0.83994,1.06682,0.000368702,0.000368702,0.000368702
2,100.263,1.22722,1.04381,1.10452,0.67474,0.64986,0.74157,0.41247,1.17192,1.2335,1.1327,0.000714647,0.000714647,0.000714647
3,141.75,1.21657,0.98166,1.06867,0.66043,0.64001,0.68106,0.38619,1.21044,1.15672,1.12911,0.00103615,0.00103615,0.00103615
4,183.641,1.18253,0.90704,1.09728,0.77065,0.64197,0.75999,0.44368,1.17369,0.95967,1.19553,0.00100101,0.00100101,0.00100101
5,225.859,1.19781,0.8737,1.10568,0.56734,0.68373,0.65879,0.40417,1.11593,0.9505,1.08477,0.000964348,0.000964348,0.000964348
6,267.191,1.11953,0.79027,1.0528,0.75306,0.71011,0.74007,0.44569,1.11642,0.85338,1.09034,0.000927685,0.000927685,0.000927685
7,308.438,1.0808,0.84332,1.03612,0.73399,0.73241,0.74641,0.45495,1.05585,0.92948,1.07066,0.000891022,0.000891022,0.000891022
8,351.169,1.08463,0.75706,1.04649,0.84817,0.72442,0.79793,0.48907,1.01853,0.82446,1.06233,0.000854359,0.000854359,0.000854359
9,394.126,1.0267,0.69399,1.03757,0.74019,0.77218,0.76468,0.47947,1.01948,0.74931,1.05373,0.000817696,0.000817696,0.000817696
10,435.685,1.0295,0.69835,1.01774,0.86095,0.72238,0.79235,0.48703,0.99525,0.75596,1.04755,0.000781033,0.000781033,0.000781033
11,478.449,1.00835,0.66801,0.99656,0.82694,0.73925,0.81899,0.52661,0.9875,0.69693,1.0358,0.00074437,0.00074437,0.00074437
12,520.722,0.97286,0.62807,0.99763,0.84537,0.76934,0.82865,0.52382,0.95643,0.67582,1.03952,0.000707707,0.000707707,0.000707707
13,562.825,0.97703,0.65741,1.00788,0.86466,0.79742,0.85295,0.55098,0.97548,0.67047,1.03997,0.000671044,0.000671044,0.000671044
14,607.842,0.94443,0.61793,0.99397,0.82611,0.79973,0.82176,0.53834,0.9193,0.62562,1.02712,0.000634381,0.000634381,0.000634381
15,654.091,0.93043,0.58667,0.97941,0.81132,0.78509,0.8237,0.53511,0.96131,0.68192,1.02774,0.000597718,0.000597718,0.000597718
16,698.153,0.92287,0.5738,0.96668,0.83634,0.79591,0.83433,0.57095,0.87798,0.61039,0.9821,0.000561055,0.000561055,0.000561055
17,741.635,0.88329,0.54835,0.968,0.82263,0.83431,0.84192,0.5835,0.86252,0.61203,0.98076,0.000524392,0.000524392,0.000524392
18,786.79,0.88439,0.54475,0.96967,0.85571,0.81457,0.84288,0.55992,0.92141,0.59356,1.0068,0.000487729,0.000487729,0.000487729
19,831.752,0.83802,0.51183,0.94933,0.87629,0.79644,0.8612,0.6058,0.85789,0.57098,0.96964,0.000451066,0.000451066,0.000451066
20,875.526,0.81594,0.49758,0.92948,0.89426,0.79049,0.85926,0.60683,0.84625,0.57706,0.97561,0.000414403,0.000414403,0.000414403
21,970.523,0.8469,0.51047,0.92284,0.8564,0.69305,0.85155,0.57259,0.86638,0.58829,1.00054,0.00037774,0.00037774,0.00037774
22,1011.46,0.84561,0.5064,0.93914,0.90434,0.77217,0.85158,0.57746,0.87045,0.5797,0.99978,0.000341077,0.000341077,0.000341077
23,1052.78,0.82466,0.49201,0.928,0.87213,0.78936,0.86571,0.59111,0.83054,0.5855,0.98458,0.000304414,0.000304414,0.000304414
24,1094.72,0.79828,0.47251,0.90743,0.87998,0.77106,0.86396,0.59617,0.84612,0.55545,0.97398,0.000267751,0.000267751,0.000267751
25,1136.76,0.79882,0.45326,0.91484,0.89238,0.80014,0.86293,0.59212,0.84276,0.55377,0.97695,0.000231088,0.000231088,0.000231088
26,1178.29,0.77378,0.4545,0.90822,0.842,0.82141,0.87303,0.60441,0.80579,0.51817,0.97048,0.000194425,0.000194425,0.000194425
27,1221.32,0.75759,0.4503,0.90153,0.89741,0.83203,0.8688,0.61021,0.79317,0.52503,0.97182,0.000157762,0.000157762,0.000157762
28,1264.92,0.71972,0.42241,0.88856,0.88953,0.81172,0.87172,0.62286,0.79273,0.51413,0.96283,0.000121099,0.000121099,0.000121099
29,1308.27,0.7237,0.40853,0.88565,0.91315,0.78272,0.87072,0.62667,0.76493,0.4944,0.95738,8.4436e-05,8.4436e-05,8.4436e-05
30,1351.3,0.67983,0.38705,0.86907,0.84713,0.85402,0.87042,0.63044,0.74989,0.50625,0.95353,4.7773e-05,4.7773e-05,4.7773e-05
