epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1663,1.17969,1.70348,1.07887,0.83044,0.56268,0.66393,0.43357,0.99394,0.84723,1.01002,0.000366515,0.000366515,0.000366515
2,74.9611,1.09701,0.88493,1.04381,0.70372,0.69227,0.73703,0.45563,1.08143,0.95165,1.10419,0.000712533,0.000712533,0.000712533
3,100.181,1.11849,0.79974,1.04373,0.87635,0.66381,0.76303,0.42693,1.17625,0.84102,1.16494,0.00103411,0.00103411,0.00103411
4,124.716,1.08177,0.77107,1.04608,0.67135,0.71683,0.71614,0.45408,1.09562,0.85116,1.12074,0.00100101,0.00100101,0.00100101
5,149.724,1.05915,0.71797,1.04445,0.75355,0.69523,0.76793,0.48054,0.94868,0.77775,1.06296,0.000964348,0.000964348,0.000964348
6,175.327,1.04844,0.71181,1.03944,0.77398,0.70025,0.77314,0.45193,1.08733,0.7838,1.1041,0.000927685,0.000927685,0.000927685
7,202,1.01893,0.64692,1.02348,0.87178,0.77204,0.82277,0.5214,1.00898,0.74754,1.08607,0.000891022,0.000891022,0.000891022
8,229.004,1.01304,0.6428,1.00954,0.83459,0.78874,0.82676,0.51836,1.0098,0.72435,1.0475,0.000854359,0.000854359,0.000854359
9,259.125,0.97195,0.62958,0.99235,0.79117,0.80558,0.83499,0.53335,1.00776,0.7171,1.06466,0.000817696,0.000817696,0.000817696
10,288.019,0.95813,0.58827,0.98115,0.80689,0.80412,0.82679,0.54342,0.97389,0.65836,1.08681,0.000781033,0.000781033,0.000781033
11,316.528,0.95536,0.58635,0.99747,0.81267,0.79741,0.84742,0.57086,1.01376,0.66776,1.08986,0.00074437,0.00074437,0.00074437
12,344.825,0.91834,0.56925,0.96553,0.80477,0.79581,0.82704,0.57159,0.87498,0.66407,1.01657,0.000707707,0.000707707,0.000707707
13,375.89,0.88571,0.53153,0.96068,0.87196,0.7928,0.83124,0.5805,0.93643,0.63949,1.06252,0.000671044,0.000671044,0.000671044
14,406.01,0.86333,0.52461,0.96066,0.83418,0.80292,0.83569,0.58683,0.92795,0.62047,1.06233,0.000634381,0.000634381,0.000634381
15,434.706,0.88238,0.51644,0.95635,0.81745,0.83695,0.85616,0.58363,0.97435,0.62478,1.10023,0.000597718,0.000597718,0.000597718
16,464.555,0.86104,0.52352,0.95109,0.85871,0.77074,0.83464,0.57623,0.91341,0.60698,1.05364,0.000561055,0.000561055,0.000561055
17,493.365,0.84745,0.51314,0.94964,0.91269,0.78362,0.86593,0.60507,0.89962,0.60565,1.04593,0.000524392,0.000524392,0.000524392
18,522.936,0.83572,0.4928,0.95091,0.88292,0.78733,0.86878,0.59882,0.97273,0.57024,1.09212,0.000487729,0.000487729,0.000487729
19,551.913,0.8054,0.4761,0.93933,0.86962,0.78946,0.85875,0.59821,0.92534,0.60326,1.03198,0.000451066,0.000451066,0.000451066
20,580.646,0.81288,0.47113,0.93518,0.85373,0.82432,0.86144,0.58281,0.92581,0.58753,1.04472,0.000414403,0.000414403,0.000414403
21,646.614,0.84722,0.47889,0.93912,0.77648,0.8432,0.85509,0.58357,0.91586,0.59386,1.04452,0.00037774,0.00037774,0.00037774
22,675.681,0.82842,0.46172,0.93767,0.87092,0.80261,0.85907,0.5958,0.90829,0.58712,1.02659,0.000341077,0.000341077,0.000341077
23,704.256,0.80821,0.45251,0.93349,0.85922,0.79492,0.85759,0.58838,0.96838,0.56938,1.05637,0.000304414,0.000304414,0.000304414
24,733.025,0.79485,0.43241,0.92692,0.84468,0.80297,0.85533,0.59312,0.92602,0.56846,1.05681,0.000267751,0.000267751,0.000267751
25,771.97,0.7625,0.42991,0.90846,0.86811,0.83167,0.86221,0.6092,0.89898,0.5887,1.0342,0.000231088,0.000231088,0.000231088
26,812.525,0.77505,0.42501,0.91874,0.87767,0.80193,0.8663,0.60256,0.9109,0.5797,1.06206,0.000194425,0.000194425,0.000194425
27,844.246,0.74422,0.41362,0.91484,0.88561,0.80464,0.85928,0.60456,0.88008,0.55408,1.04073,0.000157762,0.000157762,0.000157762
28,877.973,0.72856,0.40177,0.89513,0.8887,0.81829,0.8639,0.61634,0.87639,0.55573,1.03405,0.000121099,0.000121099,0.000121099
29,904.954,0.71684,0.39549,0.88909,0.89578,0.82827,0.86642,0.61602,0.87479,0.555,1.02572,8.4436e-05,8.4436e-05,8.4436e-05
30,934.506,0.68704,0.3778,0.89772,0.88171,0.83264,0.86948,0.62113,0.87892,0.52976,1.03835,4.7773e-05,4.7773e-05,4.7773e-05
