epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1439,1.29834,2.7952,1.06246,0.00335,0.18898,0.09083,0.07196,1.11905,3.61967,0.96703,0.000360046,0.000360046,0.000360046
2,57.1623,1.22313,1.57897,1.0299,0.00851,0.57557,0.33337,0.21428,1.11603,2.9617,1.01456,0.000706277,0.000706277,0.000706277
3,72.9197,1.16671,1.34762,1.02535,0.55086,0.34613,0.49046,0.30834,1.20958,1.77518,1.0496,0.00102807,0.00102807,0.00102807
4,88.5441,1.15662,1.28294,1.02373,0.63533,0.56866,0.58984,0.36074,1.05541,1.0445,0.98763,0.00100101,0.00100101,0.00100101
5,104.048,1.11044,1.13843,1.00292,0.67686,0.64355,0.6494,0.41207,1.06364,0.9452,1.00821,0.000964348,0.000964348,0.000964348
6,120.024,1.09366,1.06929,0.99155,0.78128,0.66169,0.69412,0.42344,1.06089,0.90579,1.02221,0.000927685,0.000927685,0.000927685
7,136.022,1.07279,0.98199,0.9925,0.76743,0.68908,0.73759,0.45432,1.00945,0.79759,1.00064,0.000891022,0.000891022,0.000891022
8,151.732,1.04444,0.89917,0.97583,0.70771,0.73908,0.71902,0.43232,1.10438,0.81911,1.02354,0.000854359,0.000854359,0.000854359
9,167.53,1.01995,0.8712,0.98372,0.76377,0.71333,0.7193,0.44364,1.03672,0.77425,1.01425,0.000817696,0.000817696,0.000817696
10,183.564,0.99762,0.8158,0.9611,0.81495,0.7215,0.76381,0.47362,1.01432,0.71552,0.99707,0.000781033,0.000781033,0.000781033
11,199.748,1.01185,0.78328,0.96222,0.78603,0.76467,0.79967,0.50175,1.01361,0.70072,1.00748,0.00074437,0.00074437,0.00074437
12,215.418,0.96371,0.77447,0.95476,0.81776,0.7648,0.78805,0.49801,0.97365,0.6846,0.99471,0.000707707,0.000707707,0.000707707
13,230.823,0.95745,0.7414,0.95518,0.80954,0.7529,0.80927,0.51606,0.95523,0.69531,0.98031,0.000671044,0.000671044,0.000671044
14,246.612,0.95604,0.71139,0.94972,0.84888,0.74456,0.79554,0.51317,0.9371,0.65842,0.97402,0.000634381,0.000634381,0.000634381
15,262.641,0.91868,0.69031,0.94101,0.87336,0.77891,0.8228,0.51976,0.93591,0.64589,0.9709,0.000597718,0.000597718,0.000597718
16,279.046,0.94996,0.67285,0.95161,0.87552,0.747,0.81632,0.53537,0.99782,0.64156,0.98616,0.000561055,0.000561055,0.000561055
17,294.934,0.86112,0.62535,0.92605,0.88042,0.72929,0.80377,0.53589,0.89001,0.6274,0.94947,0.000524392,0.000524392,0.000524392
18,310.629,0.87265,0.62374,0.92493,0.86006,0.74667,0.81715,0.55223,0.88102,0.60961,0.94854,0.000487729,0.000487729,0.000487729
19,327.731,0.8757,0.61941,0.92751,0.79677,0.77141,0.81287,0.54296,0.88261,0.60213,0.94973,0.000451066,0.000451066,0.000451066
20,343.731,0.84768,0.61086,0.91391,0.79873,0.80414,0.8161,0.53573,0.8898,0.5935,0.95378,0.000414403,0.000414403,0.000414403
21,402.044,0.87778,0.64034,0.91363,0.84526,0.80134,0.8313,0.53392,0.92193,0.63273,0.96201,0.00037774,0.00037774,0.00037774
22,417.716,0.88315,0.62278,0.93657,0.85026,0.81386,0.84189,0.55078,0.8896,0.5943,0.94695,0.000341077,0.000341077,0.000341077
23,433.605,0.85665,0.60389,0.91244,0.81744,0.83308,0.84538,0.54091,0.89734,0.59755,0.9592,0.000304414,0.000304414,0.000304414
24,448.76,0.84595,0.59926,0.91179,0.82282,0.79907,0.83552,0.53934,0.90895,0.58309,0.95863,0.000267751,0.000267751,0.000267751
25,463.969,0.80711,0.56805,0.88821,0.88216,0.8045,0.84261,0.5577,0.88468,0.5748,0.9539,0.000231088,0.000231088,0.000231088
26,479.424,0.81413,0.55175,0.90043,0.877,0.80183,0.85457,0.57622,0.85635,0.54797,0.94535,0.000194425,0.000194425,0.000194425
27,494.951,0.80473,0.53653,0.91268,0.85457,0.83386,0.85064,0.5667,0.86654,0.54623,0.94435,0.000157762,0.000157762,0.000157762
28,510.555,0.77223,0.52654,0.88873,0.85196,0.8375,0.85463,0.57401,0.84596,0.52517,0.9411,0.000121099,0.000121099,0.000121099
29,526.815,0.75697,0.51751,0.88255,0.89094,0.81828,0.85533,0.57554,0.84958,0.52292,0.94427,8.4436e-05,8.4436e-05,8.4436e-05
30,542.368,0.75838,0.50877,0.89512,0.87857,0.81951,0.85493,0.57719,0.83669,0.52079,0.93794,4.7773e-05,4.7773e-05,4.7773e-05
