epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1183,1.43196,2.49519,1.02392,0.61286,0.25012,0.27329,0.1601,1.28689,1.53348,1.0068,0.00110446,0.00110446,0.00110446
2,91.1479,1.35401,1.5848,1.00815,0.62054,0.38854,0.3806,0.20513,1.24739,1.43503,0.97839,0.00107434,0.00107434,0.00107434
3,132.327,1.33376,1.46546,1.01104,0.66059,0.44307,0.44366,0.27367,1.2436,1.22883,0.98892,0.00103767,0.00103767,0.00103767
4,173.435,1.27719,1.27539,0.99957,0.78378,0.43485,0.48724,0.29714,1.15527,1.08844,0.97364,0.00100101,0.00100101,0.00100101
5,213.967,1.21179,1.14976,0.96892,0.70392,0.45512,0.48946,0.29326,1.17222,1.07304,0.96609,0.000964348,0.000964348,0.000964348
6,253.176,1.16841,1.10104,0.96591,0.68029,0.4693,0.49389,0.30449,1.09957,1.19437,0.94083,0.000927685,0.000927685,0.000927685
7,295.484,1.13834,1.04083,0.95158,0.72913,0.4624,0.47492,0.3027,1.04784,1.03335,0.93093,0.000891022,0.000891022,0.000891022
8,335.649,1.12073,1.0181,0.95165,0.81678,0.45059,0.52305,0.32158,1.05073,0.90154,0.93558,0.000854359,0.000854359,0.000854359
9,375.041,1.11022,0.97092,0.9452,0.84176,0.46221,0.53991,0.32831,1.09724,0.95118,0.94569,0.000817696,0.000817696,0.000817696
10,415.675,1.11053,0.92105,0.93857,0.7977,0.47748,0.54389,0.34399,1.05236,0.90836,0.93531,0.000781033,0.000781033,0.000781033
11,455.97,1.05644,0.85366,0.93059,0.73749,0.55053,0.57092,0.34396,1.06232,0.88557,0.92772,0.00074437,0.00074437,0.00074437
12,495.315,1.05037,0.85207,0.92082,0.79904,0.50519,0.55956,0.35266,1.04606,0.89857,0.92481,0.000707707,0.000707707,0.000707707
13,534.417,1.04327,0.82495,0.91907,0.84338,0.48748,0.57318,0.34779,1.03201,0.80503,0.92573,0.000671044,0.000671044,0.000671044
14,573.92,1.03677,0.81562,0.91319,0.77101,0.52837,0.57353,0.34483,0.9996,0.81082,0.9245,0.000634381,0.000634381,0.000634381
15,613.278,1.03606,0.77804,0.91414,0.81955,0.53537,0.60086,0.37741,1.02149,0.81009,0.93573,0.000597718,0.000597718,0.000597718
16,652.415,1.00565,0.78885,0.90511,0.81823,0.53148,0.60782,0.37808,0.95079,0.85521,0.90715,0.000561055,0.000561055,0.000561055
17,691.219,0.98957,0.76732,0.90896,0.78661,0.57991,0.62984,0.39529,0.96335,0.78715,0.91127,0.000524392,0.000524392,0.000524392
18,731.444,0.99739,0.75968,0.9168,0.85075,0.52544,0.62702,0.38682,0.96098,0.76846,0.9086,0.000487729,0.000487729,0.000487729
19,769.648,0.95415,0.72041,0.90785,0.73375,0.62621,0.64406,0.38946,0.95048,0.74453,0.90425,0.000451066,0.000451066,0.000451066
20,808.909,0.93941,0.69146,0.89622,0.75036,0.64121,0.68639,0.42388,0.94158,0.74044,0.90867,0.000414403,0.000414403,0.000414403
21,887.421,1.03689,0.8105,0.89508,0.8979,0.48347,0.64507,0.41237,0.95334,0.74405,0.90982,0.00037774,0.00037774,0.00037774
22,926.007,0.98609,0.72345,0.89139,0.8208,0.52356,0.64049,0.40298,0.97843,0.76029,0.91961,0.000341077,0.000341077,0.000341077
23,964.112,0.97972,0.72493,0.88572,0.75766,0.64321,0.67285,0.412,0.92739,0.74067,0.89723,0.000304414,0.000304414,0.000304414
24,1002.98,0.95445,0.71193,0.8734,0.76217,0.63984,0.68815,0.41238,0.91377,0.72498,0.89435,0.000267751,0.000267751,0.000267751
25,1041.97,0.95434,0.68987,0.88204,0.7589,0.66176,0.6872,0.42584,0.92751,0.7207,0.90199,0.000231088,0.000231088,0.000231088
26,1081.64,0.94385,0.69082,0.88638,0.76929,0.64684,0.68725,0.41946,0.9259,0.70206,0.89887,0.000194425,0.000194425,0.000194425
27,1120.92,0.93008,0.69391,0.87699,0.71921,0.70242,0.72183,0.44809,0.89975,0.68657,0.89378,0.000157762,0.000157762,0.000157762
28,1160.29,0.89628,0.64917,0.86978,0.77803,0.63996,0.72946,0.44626,0.88115,0.6708,0.88873,0.000121099,0.000121099,0.000121099
29,1202.85,0.8987,0.64921,0.87069,0.84303,0.61931,0.71395,0.44273,0.89216,0.67826,0.89348,8.4436e-05,8.4436e-05,8.4436e-05
30,1243.67,0.88312,0.62724,0.87341,0.84659,0.63251,0.73288,0.45891,0.87179,0.66007,0.88955,4.7773e-05,4.7773e-05,4.7773e-05
