epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5619,1.35411,1.79358,1.08519,0.80464,0.22788,0.36275,0.1929,1.36047,2.12003,1.17769,0.00110446,0.00110446,0.00110446
2,109.641,1.38924,1.36221,1.14876,0.7913,0.33983,0.48128,0.24691,1.35903,1.33107,1.27586,0.00107434,0.00107434,0.00107434
3,172.537,1.38463,1.17009,1.14496,0.62897,0.39047,0.44709,0.24603,1.33508,1.3358,1.17275,0.00103767,0.00103767,0.00103767
4,227.272,1.30963,0.98866,1.11684,0.74516,0.48879,0.54598,0.30908,1.22659,1.05326,1.10305,0.00100101,0.00100101,0.00100101
5,273.169,1.22395,0.90991,1.07392,0.65447,0.5337,0.553,0.32221,1.18957,1.06011,1.09509,0.000964348,0.000964348,0.000964348
6,321.379,1.16143,0.85776,1.05033,0.73273,0.45472,0.59496,0.34636,1.14765,0.8913,1.04548,0.000927685,0.000927685,0.000927685
7,369.097,1.13769,0.81814,1.03007,0.83271,0.50462,0.60745,0.38009,1.11732,0.87654,1.04809,0.000891022,0.000891022,0.000891022
8,417.591,1.10931,0.78587,1.02999,0.85841,0.56663,0.66189,0.40274,1.00298,0.7583,0.99942,0.000854359,0.000854359,0.000854359
9,470.927,1.09269,0.75026,1.02924,0.71695,0.61359,0.69531,0.41086,1.10616,0.80876,1.02036,0.000817696,0.000817696,0.000817696
10,530.488,1.06598,0.71908,1.00432,0.72808,0.6557,0.68998,0.40678,1.0397,0.7051,1.0045,0.000781033,0.000781033,0.000781033
11,588.49,1.00833,0.65134,0.98516,0.70238,0.65977,0.72588,0.42167,1.05263,0.69867,1.00263,0.00074437,0.00074437,0.00074437
12,648.105,1.00407,0.64953,0.98232,0.80977,0.63635,0.73427,0.4412,0.96541,0.68416,1.00168,0.000707707,0.000707707,0.000707707
13,704.913,0.96816,0.63738,0.96681,0.70609,0.70539,0.72706,0.45878,0.92073,0.66687,0.96532,0.000671044,0.000671044,0.000671044
14,753.324,0.94858,0.62264,0.95478,0.86591,0.67424,0.73966,0.46317,0.98418,0.64229,0.9846,0.000634381,0.000634381,0.000634381
15,802.193,0.9277,0.59272,0.95518,0.74479,0.71907,0.75089,0.47132,0.93666,0.6321,0.97358,0.000597718,0.000597718,0.000597718
16,852.343,0.91708,0.58254,0.94712,0.85264,0.70491,0.77035,0.49334,0.94159,0.62782,0.98599,0.000561055,0.000561055,0.000561055
17,921.719,0.89065,0.55873,0.94039,0.8176,0.75041,0.78439,0.48782,0.90297,0.62161,0.97147,0.000524392,0.000524392,0.000524392
18,987.157,0.89023,0.55086,0.94975,0.84473,0.74198,0.79326,0.49332,0.90978,0.59862,0.97099,0.000487729,0.000487729,0.000487729
19,1046.74,0.85782,0.53197,0.9399,0.83738,0.74925,0.79371,0.51479,0.8651,0.56863,0.94979,0.000451066,0.000451066,0.000451066
20,1106.3,0.80785,0.49381,0.92395,0.8352,0.75233,0.79712,0.5152,0.90943,0.55875,0.96539,0.000414403,0.000414403,0.000414403
21,1200.08,0.87989,0.53409,0.90891,0.79184,0.64232,0.75167,0.47075,0.91435,0.61705,0.96787,0.00037774,0.00037774,0.00037774
22,1259,0.85203,0.50321,0.90739,0.8532,0.71229,0.80161,0.5003,0.90615,0.58892,0.96886,0.000341077,0.000341077,0.000341077
23,1316.19,0.83656,0.50006,0.90131,0.86964,0.72566,0.79151,0.49565,0.89394,0.59326,0.95423,0.000304414,0.000304414,0.000304414
24,1362.86,0.81593,0.49184,0.89189,0.83008,0.75577,0.79713,0.50786,0.8669,0.57651,0.95995,0.000267751,0.000267751,0.000267751
25,1410.93,0.80363,0.47652,0.88725,0.88045,0.75859,0.81093,0.51992,0.86291,0.54818,0.95635,0.000231088,0.000231088,0.000231088
26,1459.29,0.83299,0.49374,0.90901,0.83375,0.76943,0.80582,0.51654,0.87513,0.56184,0.96233,0.000194425,0.000194425,0.000194425
27,1506.42,0.78745,0.46088,0.88275,0.81169,0.77531,0.80751,0.52363,0.84842,0.55695,0.95169,0.000157762,0.000157762,0.000157762
28,1555.14,0.74772,0.43745,0.87463,0.89323,0.72852,0.81249,0.5453,0.82711,0.53277,0.94792,0.000121099,0.000121099,0.000121099
29,1603.63,0.74116,0.42897,0.8725,0.91176,0.73825,0.81085,0.5465,0.81315,0.52246,0.94025,8.4436e-05,8.4436e-05,8.4436e-05
30,1654.62,0.72403,0.41947,0.87874,0.88103,0.75917,0.8213,0.54641,0.82212,0.51032,0.94038,4.7773e-05,4.7773e-05,4.7773e-05
