epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9171,1.46093,2.84799,1.03803,0.74494,0.21979,0.24093,0.14434,1.45067,1.65268,1.07795,0.00110446,0.00110446,0.00110446
2,54.4824,1.40802,1.65343,1.04854,0.59124,0.37064,0.32925,0.19624,1.297,1.45043,1.07418,0.00107434,0.00107434,0.00107434
3,78.2759,1.33938,1.51037,1.04044,0.64329,0.45142,0.41618,0.25261,1.17437,1.2272,1.01185,0.00103767,0.00103767,0.00103767
4,102.611,1.2698,1.33753,1.03374,0.72832,0.42184,0.46117,0.26804,1.16367,1.09052,1.01594,0.00100101,0.00100101,0.00100101
5,126.869,1.25366,1.22834,1.00648,0.74725,0.45141,0.49887,0.3038,1.15981,1.13411,0.999,0.000964348,0.000964348,0.000964348
6,151.991,1.18351,1.13519,0.99912,0.81667,0.42139,0.51189,0.31202,1.13937,1.01638,1.00209,0.000927685,0.000927685,0.000927685
7,176.914,1.13757,1.06241,0.97719,0.81313,0.41427,0.52055,0.33443,1.06805,0.95927,0.9761,0.000891022,0.000891022,0.000891022
8,200.962,1.13728,1.05904,0.97382,0.76533,0.48283,0.52011,0.31281,1.14478,0.97022,0.99417,0.000854359,0.000854359,0.000854359
9,225.353,1.1086,1.00536,0.969,0.84308,0.45331,0.55514,0.33736,1.12795,0.93038,0.98569,0.000817696,0.000817696,0.000817696
10,250.123,1.09864,0.93575,0.95259,0.91022,0.44583,0.56659,0.35774,1.04714,0.8823,0.96899,0.000781033,0.000781033,0.000781033
11,279.802,1.05796,0.8788,0.94802,0.82702,0.47944,0.57326,0.3572,1.05918,0.8712,0.96497,0.00074437,0.00074437,0.00074437
12,312.111,1.05484,0.88426,0.94169,0.86273,0.47425,0.55173,0.34426,1.07352,0.86957,0.96221,0.000707707,0.000707707,0.000707707
13,344.747,1.03789,0.86915,0.9339,0.86874,0.53305,0.61752,0.37258,1.03806,0.77778,0.95792,0.000671044,0.000671044,0.000671044
14,376.827,1.01683,0.83467,0.92153,0.83345,0.52342,0.58375,0.35449,1.02077,0.81261,0.95868,0.000634381,0.000634381,0.000634381
15,409.499,1.02393,0.79545,0.92665,0.87074,0.52829,0.608,0.37225,1.02922,0.78786,0.9545,0.000597718,0.000597718,0.000597718
16,446.692,0.99788,0.82157,0.92214,0.8696,0.54932,0.61488,0.38044,0.97052,0.79045,0.93942,0.000561055,0.000561055,0.000561055
17,479.82,0.97614,0.78347,0.91789,0.83808,0.53502,0.61576,0.39436,0.9757,0.76765,0.94128,0.000524392,0.000524392,0.000524392
18,511.888,0.97743,0.77723,0.92168,0.8784,0.5211,0.6172,0.39646,0.97276,0.75375,0.94385,0.000487729,0.000487729,0.000487729
19,544.703,0.9422,0.73849,0.91712,0.83686,0.52452,0.61987,0.39244,0.97827,0.73795,0.9385,0.000451066,0.000451066,0.000451066
20,577.678,0.91906,0.7017,0.90609,0.58378,0.57603,0.60445,0.38638,0.95659,0.73141,0.93556,0.000414403,0.000414403,0.000414403
21,637.791,1.02351,0.82916,0.91185,0.83979,0.54403,0.61049,0.38976,0.96076,0.71759,0.93924,0.00037774,0.00037774,0.00037774
22,670.82,0.97132,0.77283,0.9011,0.57662,0.57184,0.61186,0.38067,0.98273,0.73274,0.94736,0.000341077,0.000341077,0.000341077
23,702.914,0.94062,0.75835,0.89741,0.67879,0.58198,0.64766,0.39857,0.96206,0.73654,0.94054,0.000304414,0.000304414,0.000304414
24,734.822,0.94431,0.7277,0.88392,0.65079,0.56825,0.6276,0.39818,0.92687,0.71404,0.92771,0.000267751,0.000267751,0.000267751
25,767.172,0.93898,0.71122,0.88693,0.59703,0.60436,0.63931,0.41501,0.93295,0.68692,0.92631,0.000231088,0.000231088,0.000231088
26,798.512,0.92702,0.71268,0.89783,0.78639,0.61624,0.64951,0.40608,0.93849,0.70022,0.93985,0.000194425,0.000194425,0.000194425
27,831.386,0.91537,0.72485,0.8864,0.81684,0.5988,0.66765,0.42634,0.89976,0.66741,0.92401,0.000157762,0.000157762,0.000157762
28,862.716,0.87853,0.67541,0.87902,0.83084,0.61191,0.67949,0.43163,0.89323,0.6619,0.92281,0.000121099,0.000121099,0.000121099
29,894.27,0.85605,0.65939,0.87746,0.79382,0.63561,0.68576,0.4245,0.89789,0.64765,0.92128,8.4436e-05,8.4436e-05,8.4436e-05
30,925.422,0.87149,0.65479,0.88335,0.78967,0.64629,0.68575,0.4303,0.89299,0.64493,0.91992,4.7773e-05,4.7773e-05,4.7773e-05
