epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.22,1.39081,2.28064,1.02848,0.45729,0.31499,0.2915,0.17049,1.29497,1.72085,1.0098,0.00110446,0.00110446,0.00110446
2,207.319,1.35546,1.52114,1.02642,0.60049,0.44768,0.41873,0.25219,1.24546,1.46467,1.01516,0.00107434,0.00107434,0.00107434
3,308.22,1.29065,1.35446,1.00591,0.67924,0.50429,0.45267,0.27404,1.19181,1.2741,0.9999,0.00103767,0.00103767,0.00103767
4,417.8,1.24386,1.27328,0.98481,0.70873,0.52583,0.52507,0.30228,1.14839,1.177,0.97556,0.00100101,0.00100101,0.00100101
5,526.026,1.20109,1.12848,0.96995,0.73837,0.50242,0.50656,0.32667,1.08061,1.18048,0.95143,0.000964348,0.000964348,0.000964348
6,633.899,1.15698,1.03537,0.96377,0.80291,0.47702,0.54147,0.34615,1.10244,1.06825,0.96675,0.000927685,0.000927685,0.000927685
7,730.264,1.11252,0.96718,0.94752,0.72996,0.51222,0.54039,0.34865,1.043,1.04448,0.9551,0.000891022,0.000891022,0.000891022
8,826.877,1.08808,0.94606,0.94022,0.73569,0.53241,0.57494,0.35835,1.06188,0.98764,0.93791,0.000854359,0.000854359,0.000854359
9,929.07,1.08344,0.90019,0.9414,0.84416,0.55087,0.59146,0.35233,1.06817,0.92261,0.94507,0.000817696,0.000817696,0.000817696
10,1036.19,1.05688,0.8637,0.92121,0.78441,0.60546,0.60566,0.37269,0.9925,0.86169,0.93688,0.000781033,0.000781033,0.000781033
11,1144.91,1.01475,0.84596,0.91487,0.7957,0.55558,0.61329,0.39422,1.00709,0.85081,0.93089,0.00074437,0.00074437,0.00074437
12,1254.2,1.02245,0.80574,0.92134,0.80931,0.58282,0.63045,0.3742,0.9725,0.84709,0.92109,0.000707707,0.000707707,0.000707707
13,1363.15,1.02725,0.80571,0.92206,0.87045,0.55921,0.62841,0.38481,0.96089,0.85005,0.91848,0.000671044,0.000671044,0.000671044
14,1471.84,1.01151,0.7778,0.92626,0.69707,0.59453,0.6401,0.39126,0.97556,0.82107,0.92722,0.000634381,0.000634381,0.000634381
15,1581.32,0.96933,0.74734,0.91634,0.7341,0.60497,0.65884,0.40394,0.97266,0.81161,0.91783,0.000597718,0.000597718,0.000597718
16,1690.16,0.9712,0.72077,0.90206,0.81622,0.5798,0.69013,0.40894,0.97934,0.78055,0.93072,0.000561055,0.000561055,0.000561055
17,1798.61,0.92944,0.69065,0.89293,0.74917,0.62752,0.65976,0.40491,0.95758,0.77459,0.91918,0.000524392,0.000524392,0.000524392
18,1910.34,0.95266,0.70536,0.89785,0.77915,0.61823,0.66056,0.40942,0.99182,0.75917,0.92048,0.000487729,0.000487729,0.000487729
19,2018.13,0.9341,0.69337,0.902,0.76033,0.59575,0.66829,0.40829,0.97558,0.72916,0.92164,0.000451066,0.000451066,0.000451066
20,2117.1,0.9415,0.71184,0.90756,0.74457,0.58071,0.66674,0.41187,0.92395,0.73328,0.91952,0.000414403,0.000414403,0.000414403
21,2217.74,0.94375,0.73087,0.88662,0.71296,0.61196,0.65163,0.39644,0.95353,0.76623,0.9166,0.00037774,0.00037774,0.00037774
22,2327.11,0.91128,0.69858,0.87122,0.79487,0.58742,0.66247,0.41393,0.94834,0.72954,0.91475,0.000341077,0.000341077,0.000341077
23,2435.75,0.92105,0.65652,0.88395,0.82007,0.61175,0.67431,0.41535,0.9483,0.70908,0.91574,0.000304414,0.000304414,0.000304414
24,2544.67,0.88424,0.64642,0.87522,0.79258,0.63389,0.67815,0.4097,0.91389,0.67274,0.91085,0.000267751,0.000267751,0.000267751
25,2644.42,0.88018,0.63842,0.8814,0.77985,0.6326,0.68387,0.42037,0.97552,0.68841,0.92391,0.000231088,0.000231088,0.000231088
26,2741.5,0.89425,0.64212,0.87273,0.81968,0.61528,0.69692,0.426,0.91066,0.68653,0.91126,0.000194425,0.000194425,0.000194425
27,2851.09,0.84447,0.60619,0.86778,0.83461,0.61327,0.68852,0.41309,0.94024,0.68743,0.91084,0.000157762,0.000157762,0.000157762
28,2962.93,0.86637,0.61459,0.86371,0.81683,0.6487,0.70612,0.42182,0.90701,0.6686,0.90558,0.000121099,0.000121099,0.000121099
29,3073.37,0.88367,0.64562,0.8733,0.82475,0.63368,0.69823,0.41969,0.91391,0.6705,0.90542,8.4436e-05,8.4436e-05,8.4436e-05
30,3185.7,0.81179,0.58454,0.85622,0.84903,0.6057,0.71168,0.43114,0.88611,0.65532,0.90193,4.7773e-05,4.7773e-05,4.7773e-05
