epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,791.52,1.28617,1.56334,1.08692,0.53819,0.28572,0.32152,0.15985,1.48325,1.89926,1.22755,0.00110446,0.00110446,0.00110446
2,1593.75,1.38163,1.27289,1.13708,0.61068,0.55227,0.53096,0.29709,1.26866,1.14333,1.16108,0.00107434,0.00107434,0.00107434
3,2382.02,1.26733,0.98711,1.10057,0.72223,0.53219,0.61427,0.36876,1.11818,0.90507,1.06685,0.00103767,0.00103767,0.00103767
4,3145.09,1.25386,0.8867,1.08271,0.71803,0.48475,0.58692,0.31223,1.31868,1.163,1.16881,0.00100101,0.00100101,0.00100101
5,3934.97,1.24704,0.85807,1.07844,0.71846,0.56956,0.62672,0.36591,1.12158,0.86816,1.05282,0.000964348,0.000964348,0.000964348
6,4715.32,1.15395,0.75978,1.0405,0.64117,0.63513,0.65903,0.40362,1.13823,0.8375,1.05312,0.000927685,0.000927685,0.000927685
7,5497,1.08449,0.71497,1.01032,0.75528,0.66561,0.70899,0.4148,1.06836,0.75971,1.04332,0.000891022,0.000891022,0.000891022
8,6279.78,1.03871,0.66858,1.00336,0.66201,0.68557,0.71805,0.42909,1.08137,0.70499,1.00255,0.000854359,0.000854359,0.000854359
9,7070.86,1.04825,0.68434,1.00111,0.6626,0.63305,0.74679,0.42617,1.08768,0.76894,1.02117,0.000817696,0.000817696,0.000817696
10,7845.18,1.03251,0.66364,0.99093,0.69776,0.68339,0.72626,0.4503,0.97456,0.68434,1.00472,0.000781033,0.000781033,0.000781033
11,8626.38,0.98962,0.65165,0.98219,0.79801,0.46687,0.54784,0.3321,1.04712,1.12514,1.03492,0.00074437,0.00074437,0.00074437
12,9416.58,0.97882,0.59301,0.98022,0.79364,0.68043,0.77493,0.48547,0.97151,0.66724,0.98136,0.000707707,0.000707707,0.000707707
13,10201.9,0.95434,0.5875,0.96367,0.72286,0.71237,0.78758,0.47207,0.93773,0.63763,0.98113,0.000671044,0.000671044,0.000671044
14,10983,0.94534,0.57488,0.96044,0.86045,0.75565,0.81218,0.50002,0.92283,0.5966,0.97986,0.000634381,0.000634381,0.000634381
15,11757.1,0.90316,0.5425,0.9512,0.80576,0.76699,0.81627,0.48469,0.91588,0.5703,0.96504,0.000597718,0.000597718,0.000597718
16,12518,0.89928,0.53317,0.9438,0.83781,0.7367,0.82782,0.51054,0.9004,0.58334,0.96514,0.000561055,0.000561055,0.000561055
17,13298.3,0.86078,0.50417,0.92823,0.83026,0.75197,0.82426,0.508,0.90488,0.55408,0.97035,0.000524392,0.000524392,0.000524392
18,14099.6,0.87454,0.50918,0.92982,0.84044,0.74177,0.81997,0.52747,0.92734,0.58427,0.97637,0.000487729,0.000487729,0.000487729
19,14918.3,0.82894,0.48557,0.92136,0.85218,0.71547,0.83318,0.52454,0.85647,0.55833,0.96197,0.000451066,0.000451066,0.000451066
20,15736.5,0.84553,0.49587,0.93597,0.81398,0.7942,0.83834,0.51328,0.89454,0.54822,0.96095,0.000414403,0.000414403,0.000414403
21,16480.5,0.83131,0.47472,0.89944,0.78146,0.73132,0.80667,0.48671,0.87648,0.61112,0.95547,0.00037774,0.00037774,0.00037774
22,17288.2,0.79499,0.45633,0.87903,0.83285,0.74339,0.82216,0.50735,0.87759,0.56349,0.95294,0.000341077,0.000341077,0.000341077
23,18353.5,0.8136,0.46169,0.90332,0.79312,0.77924,0.83308,0.52332,0.89328,0.56114,0.96154,0.000304414,0.000304414,0.000304414
24,19221.2,0.79567,0.45769,0.89842,0.8884,0.72259,0.82911,0.52362,0.8801,0.52188,0.9581,0.000267751,0.000267751,0.000267751
25,20059.1,0.79775,0.44275,0.89777,0.85232,0.80102,0.84114,0.54046,0.90075,0.52038,0.95841,0.000231088,0.000231088,0.000231088
26,20890.2,0.77202,0.43626,0.87425,0.79414,0.81618,0.84223,0.55466,0.8545,0.49129,0.95975,0.000194425,0.000194425,0.000194425
27,21724.4,0.74566,0.41731,0.86871,0.83653,0.7733,0.84841,0.54071,0.84007,0.48966,0.94845,0.000157762,0.000157762,0.000157762
28,22562.6,0.73939,0.41386,0.86843,0.86047,0.78233,0.84784,0.55711,0.81879,0.48705,0.93944,0.000121099,0.000121099,0.000121099
29,23412.8,0.74197,0.41211,0.86409,0.82345,0.83671,0.84868,0.56043,0.7991,0.49563,0.93293,8.4436e-05,8.4436e-05,8.4436e-05
30,24272.2,0.68679,0.38464,0.86882,0.83806,0.80972,0.85401,0.57169,0.80189,0.47098,0.93338,4.7773e-05,4.7773e-05,4.7773e-05
