epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.4355,1.35588,1.8244,1.13632,0.63388,0.05468,0.08169,0.04383,2.04827,3.7293,2.02512,0.00110446,0.00110446,0.00110446
2,146.364,1.42964,1.33699,1.18254,0.66934,0.21189,0.25712,0.12235,1.67988,1.96952,1.50901,0.00107434,0.00107434,0.00107434
3,214.875,1.37548,1.19991,1.16153,0.74078,0.40722,0.45694,0.26872,1.30586,1.14833,1.26747,0.00103767,0.00103767,0.00103767
4,296.14,1.30218,0.98994,1.13799,0.78827,0.40297,0.46963,0.28161,1.23017,1.07741,1.23823,0.00100101,0.00100101,0.00100101
5,386.61,1.2272,0.8851,1.08836,0.75212,0.47323,0.53532,0.31261,1.24989,0.97717,1.20919,0.000964348,0.000964348,0.000964348
6,476.252,1.17656,0.85064,1.08727,0.82361,0.46552,0.55979,0.32397,1.08562,0.82493,1.08577,0.000927685,0.000927685,0.000927685
7,567.797,1.15511,0.80714,1.05855,0.77853,0.48776,0.54114,0.31663,1.13957,0.85691,1.10784,0.000891022,0.000891022,0.000891022
8,652.196,1.13275,0.78625,1.05766,0.82632,0.53536,0.60308,0.36126,1.1167,0.84696,1.09235,0.000854359,0.000854359,0.000854359
9,719.384,1.10709,0.79323,1.04628,0.83657,0.49952,0.58417,0.36689,1.06564,0.79842,1.08086,0.000817696,0.000817696,0.000817696
10,786.329,1.07891,0.70461,1.01927,0.87306,0.51742,0.62921,0.39544,1.02759,0.74362,1.06154,0.000781033,0.000781033,0.000781033
11,854.619,1.02586,0.65501,1.01203,0.74224,0.60067,0.64758,0.38575,1.00632,0.71075,1.04619,0.00074437,0.00074437,0.00074437
12,944.118,1.02185,0.65659,1.0006,0.77249,0.5434,0.64655,0.38001,1.01401,0.72351,1.04639,0.000707707,0.000707707,0.000707707
13,1033.07,0.99584,0.63389,0.98074,0.85002,0.57529,0.70069,0.43211,0.93279,0.65769,1.02593,0.000671044,0.000671044,0.000671044
14,1123.21,0.96263,0.60772,0.97098,0.78552,0.60449,0.64166,0.3741,1.03878,0.73065,1.05878,0.000634381,0.000634381,0.000634381
15,1213.1,0.96776,0.59758,0.97734,0.71107,0.63823,0.65953,0.37488,1.02963,0.68666,1.06353,0.000597718,0.000597718,0.000597718
16,1303.22,0.9328,0.60894,0.97276,0.79302,0.60426,0.73764,0.44906,0.92561,0.67043,1.03926,0.000561055,0.000561055,0.000561055
17,1398.73,0.90203,0.57158,0.96012,0.75444,0.60608,0.68513,0.41782,0.90904,0.61819,1.00838,0.000524392,0.000524392,0.000524392
18,1488.77,0.89058,0.54761,0.95386,0.77415,0.76575,0.77485,0.4618,0.9516,0.62325,1.02781,0.000487729,0.000487729,0.000487729
19,1558.02,0.88211,0.54977,0.96471,0.78999,0.73986,0.77497,0.47689,0.88161,0.5744,1.00814,0.000451066,0.000451066,0.000451066
20,1624.35,0.83829,0.50873,0.9413,0.84575,0.77529,0.79959,0.47129,0.89906,0.58577,1.00385,0.000414403,0.000414403,0.000414403
21,1716.83,0.92687,0.54168,0.94766,0.88583,0.67368,0.7962,0.46818,0.9321,0.57426,1.02495,0.00037774,0.00037774,0.00037774
22,1801.76,0.8838,0.49895,0.9456,0.74313,0.77886,0.78061,0.47309,0.8724,0.55402,1.01404,0.000341077,0.000341077,0.000341077
23,1877.4,0.87136,0.50311,0.9429,0.7583,0.76582,0.76577,0.46872,0.89387,0.54778,1.00207,0.000304414,0.000304414,0.000304414
24,1942.81,0.85803,0.47944,0.92989,0.7645,0.71185,0.75661,0.47037,0.88398,0.55823,1.02134,0.000267751,0.000267751,0.000267751
25,2008.71,0.84861,0.47865,0.92376,0.80454,0.75686,0.7957,0.49424,0.88569,0.56283,1.01346,0.000231088,0.000231088,0.000231088
26,2076.54,0.84495,0.47973,0.93236,0.84899,0.72353,0.80264,0.49567,0.88598,0.56382,1.00535,0.000194425,0.000194425,0.000194425
27,2144.69,0.8164,0.45687,0.90905,0.83205,0.78064,0.79833,0.50029,0.86029,0.5341,1.00806,0.000157762,0.000157762,0.000157762
28,2213.91,0.74694,0.43298,0.89201,0.82309,0.75391,0.81677,0.51721,0.84104,0.52101,0.99153,0.000121099,0.000121099,0.000121099
29,2281.93,0.76481,0.43848,0.90965,0.79639,0.81042,0.81878,0.52117,0.81401,0.50729,0.98173,8.4436e-05,8.4436e-05,8.4436e-05
30,2360.72,0.74505,0.41215,0.90205,0.79219,0.84,0.81315,0.51934,0.79095,0.5019,0.97706,4.7773e-05,4.7773e-05,4.7773e-05
