epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,644.193,1.25503,1.41253,1.07795,0.72056,0.28927,0.43882,0.26225,1.33854,1.6195,1.17422,0.00110446,0.00110446,0.00110446
2,1288.5,1.36697,1.17809,1.15203,0.73086,0.45021,0.531,0.2677,1.45452,1.18348,1.27989,0.00107434,0.00107434,0.00107434
3,1927.7,1.30511,0.98258,1.13349,0.84509,0.50635,0.61284,0.35459,1.21956,0.96873,1.18515,0.00103767,0.00103767,0.00103767
4,2578.76,1.24449,0.89629,1.0949,0.79003,0.50959,0.59224,0.3261,1.22576,0.96286,1.14778,0.00100101,0.00100101,0.00100101
5,3224.12,1.16648,0.79663,1.0591,0.66787,0.59152,0.62239,0.3693,1.16454,0.85534,1.09557,0.000964348,0.000964348,0.000964348
6,3864.22,1.13396,0.72816,1.05862,0.8063,0.6213,0.6957,0.40877,1.0526,0.7725,1.0886,0.000927685,0.000927685,0.000927685
7,4513.27,1.07285,0.6866,1.03227,0.72128,0.59733,0.68758,0.40564,1.11156,0.73035,1.0941,0.000891022,0.000891022,0.000891022
8,5160,1.03018,0.67888,1.01556,0.86341,0.51331,0.67816,0.37434,1.10494,0.77832,1.11245,0.000854359,0.000854359,0.000854359
9,5783.66,1.02056,0.67061,1.01243,0.77563,0.63154,0.72931,0.41643,1.00062,0.70676,1.05103,0.000817696,0.000817696,0.000817696
10,6420.99,1.02778,0.65201,1.00493,0.79654,0.65211,0.74542,0.43216,1.01101,0.6933,1.06415,0.000781033,0.000781033,0.000781033
11,7075.73,0.97477,0.62685,0.99104,0.78635,0.71949,0.7843,0.4479,0.99327,0.65167,1.03871,0.00074437,0.00074437,0.00074437
12,7729.44,0.96148,0.57797,0.9883,0.87056,0.72125,0.763,0.45049,0.98483,0.63084,1.04777,0.000707707,0.000707707,0.000707707
13,8366.72,0.95419,0.58124,0.98137,0.81163,0.72115,0.7818,0.48269,0.91564,0.61977,1.01313,0.000671044,0.000671044,0.000671044
14,9016.08,0.94373,0.56803,0.97398,0.79893,0.7485,0.76254,0.45011,1.00758,0.62208,1.03836,0.000634381,0.000634381,0.000634381
15,9667.19,0.89766,0.54574,0.96494,0.85377,0.77591,0.80462,0.49549,0.90167,0.5855,1.0118,0.000597718,0.000597718,0.000597718
16,10296.5,0.88514,0.53189,0.95044,0.85771,0.72754,0.77196,0.4789,0.88677,0.59037,1.0024,0.000561055,0.000561055,0.000561055
17,10954.9,0.83565,0.50339,0.93124,0.8192,0.77549,0.78838,0.46791,0.98926,0.61192,1.04838,0.000524392,0.000524392,0.000524392
18,11583.6,0.8814,0.51737,0.93873,0.80975,0.74797,0.80154,0.5018,0.96467,0.60818,1.03054,0.000487729,0.000487729,0.000487729
19,12230.9,0.84881,0.50003,0.94056,0.84185,0.78367,0.80765,0.50496,0.86422,0.53574,0.98996,0.000451066,0.000451066,0.000451066
20,12875.7,0.84531,0.50631,0.94335,0.78626,0.81457,0.79757,0.48972,0.90118,0.57511,0.99878,0.000414403,0.000414403,0.000414403
21,13527.9,0.84445,0.49458,0.92656,0.81773,0.81072,0.81666,0.49679,0.91692,0.5835,1.01493,0.00037774,0.00037774,0.00037774
22,14189.1,0.81696,0.46764,0.90238,0.80535,0.75015,0.77964,0.48997,0.90818,0.55843,1.02059,0.000341077,0.000341077,0.000341077
23,14835.1,0.8193,0.46708,0.92636,0.81676,0.77192,0.79877,0.50134,0.89187,0.56395,1.01076,0.000304414,0.000304414,0.000304414
24,15704.3,0.79507,0.44696,0.92046,0.81709,0.77727,0.80482,0.48943,0.86818,0.51816,0.99772,0.000267751,0.000267751,0.000267751
25,16414.7,0.808,0.44336,0.93083,0.83674,0.78827,0.79907,0.50661,0.87925,0.53547,0.98614,0.000231088,0.000231088,0.000231088
26,17165.9,0.79078,0.44738,0.90285,0.89531,0.7908,0.81424,0.53513,0.85699,0.49976,0.98456,0.000194425,0.000194425,0.000194425
27,17903.2,0.7498,0.41338,0.88386,0.86399,0.76067,0.8033,0.52258,0.84294,0.49713,0.98936,0.000157762,0.000157762,0.000157762
28,18594.1,0.7636,0.41947,0.8955,0.87014,0.80305,0.82539,0.53573,0.81756,0.49522,0.97617,0.000121099,0.000121099,0.000121099
29,19246.1,0.76017,0.42949,0.88131,0.85306,0.80823,0.80373,0.5323,0.83239,0.49988,0.97769,8.4436e-05,8.4436e-05,8.4436e-05
30,19897,0.69645,0.3887,0.87902,0.87449,0.78698,0.82032,0.54548,0.81072,0.48585,0.97428,4.7773e-05,4.7773e-05,4.7773e-05
