epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.735,1.24195,1.45425,1.08779,0.68187,0.47723,0.41207,0.24731,1.26911,1.22106,1.1088,0.00110446,0.00110446,0.00110446
2,659.474,1.26143,1.03407,1.08684,0.69599,0.4723,0.49457,0.28214,1.21151,1.11199,1.11346,0.00107434,0.00107434,0.00107434
3,984.419,1.22249,0.92843,1.08851,0.62391,0.42121,0.44802,0.27503,1.19228,0.91069,1.12276,0.00103767,0.00103767,0.00103767
4,1303.48,1.19493,0.86764,1.0589,0.71136,0.49218,0.58783,0.3154,1.11437,0.89823,1.10553,0.00100101,0.00100101,0.00100101
5,1622.36,1.15552,0.7812,1.04372,0.69648,0.58581,0.67529,0.41353,1.03039,0.82006,1.05525,0.000964348,0.000964348,0.000964348
6,1941.7,1.10767,0.71108,1.03336,0.73066,0.66969,0.6924,0.4195,1.05478,0.69154,1.05974,0.000927685,0.000927685,0.000927685
7,2262.15,1.04603,0.65784,1.00518,0.83152,0.6099,0.715,0.44389,0.93288,0.63749,0.99717,0.000891022,0.000891022,0.000891022
8,2581.74,0.99652,0.63357,0.99169,0.72734,0.69455,0.70043,0.4252,1.04878,0.68274,1.05474,0.000854359,0.000854359,0.000854359
9,2902,0.98923,0.62336,0.99023,0.78013,0.6809,0.74737,0.45248,0.95638,0.64288,1.01929,0.000817696,0.000817696,0.000817696
10,3225.41,0.99566,0.61254,0.99289,0.7511,0.70397,0.73993,0.44842,0.93001,0.65316,1.01037,0.000781033,0.000781033,0.000781033
11,3522.18,0.96045,0.60464,0.98039,0.79286,0.67769,0.75139,0.45259,0.94345,0.62449,1.0217,0.00074437,0.00074437,0.00074437
12,3847.04,0.95464,0.57966,0.97147,0.78653,0.71599,0.73653,0.46256,0.92019,0.6129,1.00722,0.000707707,0.000707707,0.000707707
13,4169.94,0.94311,0.57253,0.96153,0.80109,0.71885,0.76972,0.45922,0.91454,0.57993,1.00332,0.000671044,0.000671044,0.000671044
14,4491.36,0.92561,0.55498,0.96161,0.81446,0.74147,0.77193,0.47079,0.93594,0.59919,1.01375,0.000634381,0.000634381,0.000634381
15,4814.26,0.87934,0.53478,0.94824,0.84959,0.71993,0.78228,0.4965,0.85349,0.55577,0.97452,0.000597718,0.000597718,0.000597718
16,5136.23,0.88995,0.52447,0.94373,0.85776,0.75381,0.78019,0.48447,0.90262,0.57175,0.9852,0.000561055,0.000561055,0.000561055
17,5459.31,0.84344,0.49208,0.92503,0.78715,0.75604,0.78468,0.48468,0.90139,0.58864,0.99773,0.000524392,0.000524392,0.000524392
18,5780.74,0.85359,0.50214,0.92554,0.80175,0.74414,0.79536,0.49412,0.94912,0.59531,1.00203,0.000487729,0.000487729,0.000487729
19,6104.81,0.84971,0.50582,0.92764,0.87207,0.72309,0.79279,0.50722,0.85231,0.55042,0.96989,0.000451066,0.000451066,0.000451066
20,6425.53,0.85073,0.4953,0.93742,0.82931,0.7728,0.80292,0.52839,0.86242,0.5567,0.98196,0.000414403,0.000414403,0.000414403
21,6748.23,0.84671,0.49495,0.90875,0.83187,0.76315,0.7876,0.48509,0.88117,0.56073,0.97789,0.00037774,0.00037774,0.00037774
22,7070.46,0.83443,0.47338,0.89535,0.83406,0.72861,0.77213,0.47318,0.92198,0.56641,1.00146,0.000341077,0.000341077,0.000341077
23,7392.88,0.84599,0.47341,0.92162,0.86586,0.75341,0.81144,0.49024,0.88807,0.55423,0.98131,0.000304414,0.000304414,0.000304414
24,7715.01,0.8132,0.4514,0.91301,0.79235,0.74761,0.77516,0.48656,0.86879,0.53514,0.97804,0.000267751,0.000267751,0.000267751
25,8037.41,0.80311,0.44823,0.91462,0.79938,0.79422,0.80589,0.50173,0.87036,0.54118,0.97649,0.000231088,0.000231088,0.000231088
26,8347.37,0.80304,0.45543,0.89507,0.85155,0.77411,0.81717,0.51487,0.86308,0.54446,0.97304,0.000194425,0.000194425,0.000194425
27,8661.38,0.77583,0.41709,0.87952,0.8555,0.77327,0.81075,0.51402,0.84696,0.51751,0.9632,0.000157762,0.000157762,0.000157762
28,8984.92,0.76271,0.42916,0.8854,0.84948,0.7726,0.8235,0.52802,0.83489,0.52375,0.95442,0.000121099,0.000121099,0.000121099
29,9308.79,0.79819,0.44838,0.88708,0.82923,0.79516,0.81908,0.52539,0.8329,0.51577,0.95756,8.4436e-05,8.4436e-05,8.4436e-05
30,9632.64,0.72629,0.40792,0.88007,0.82817,0.79759,0.8221,0.53479,0.81997,0.50183,0.95333,4.7773e-05,4.7773e-05,4.7773e-05
