epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.639,1.392,2.25151,1.0553,0.82125,0.27061,0.27835,0.1764,1.24248,1.69759,1.04455,0.00110446,0.00110446,0.00110446
2,322.11,1.34632,1.51188,1.05203,0.64525,0.4113,0.38681,0.23592,1.21768,1.48594,1.04117,0.00107434,0.00107434,0.00107434
3,497.12,1.2716,1.34054,1.03829,0.66901,0.51332,0.44694,0.27324,1.18288,1.28763,1.01642,0.00103767,0.00103767,0.00103767
4,664.939,1.24537,1.25865,1.02112,0.72004,0.46748,0.48914,0.29037,1.16673,1.12775,1.00532,0.00100101,0.00100101,0.00100101
5,816.414,1.1807,1.0934,0.99197,0.80357,0.42335,0.52971,0.32906,1.12171,1.09261,1.00935,0.000964348,0.000964348,0.000964348
6,983.761,1.15733,1.01811,0.99671,0.90033,0.46596,0.58371,0.35568,1.04544,0.95913,0.98231,0.000927685,0.000927685,0.000927685
7,1159.99,1.10437,0.92698,0.98423,0.70779,0.52267,0.57569,0.3695,1.04881,0.96628,0.98608,0.000891022,0.000891022,0.000891022
8,1335.35,1.0827,0.90731,0.97116,0.76922,0.5427,0.60258,0.37163,1.01724,0.89352,0.9691,0.000854359,0.000854359,0.000854359
9,1514.41,1.06882,0.86523,0.96766,0.70022,0.58745,0.61202,0.3842,0.97815,0.84703,0.94929,0.000817696,0.000817696,0.000817696
10,1689.97,1.01776,0.82303,0.94382,0.85452,0.49059,0.58817,0.37854,0.98663,0.86697,0.96281,0.000781033,0.000781033,0.000781033
11,1867.05,1.02974,0.81423,0.95224,0.86951,0.57485,0.65348,0.39418,1.00088,0.8341,0.96279,0.00074437,0.00074437,0.00074437
12,2022.27,1.02528,0.78078,0.96637,0.82095,0.54834,0.63245,0.39274,0.98871,0.81651,0.97247,0.000707707,0.000707707,0.000707707
13,2185.1,1.01942,0.77658,0.95309,0.71631,0.64205,0.632,0.38843,0.95528,0.80263,0.96022,0.000671044,0.000671044,0.000671044
14,2350.8,1.01591,0.76525,0.95397,0.80913,0.57157,0.62453,0.3916,1.00946,0.81179,0.96774,0.000634381,0.000634381,0.000634381
15,2503.85,0.99476,0.73668,0.95329,0.69971,0.61059,0.6551,0.39904,0.97627,0.74764,0.95356,0.000597718,0.000597718,0.000597718
16,2680.43,0.98071,0.71294,0.93616,0.8065,0.61862,0.69795,0.41394,0.96436,0.72779,0.95006,0.000561055,0.000561055,0.000561055
17,2857.32,0.95369,0.67535,0.92286,0.7099,0.61032,0.69767,0.41435,0.95171,0.70969,0.95488,0.000524392,0.000524392,0.000524392
18,3015.01,0.95438,0.68471,0.92293,0.82496,0.54796,0.68178,0.41563,0.98074,0.71921,0.95814,0.000487729,0.000487729,0.000487729
19,3168.84,0.94021,0.66988,0.92459,0.72002,0.64954,0.69956,0.42525,0.94555,0.69781,0.93529,0.000451066,0.000451066,0.000451066
20,3344.45,0.94751,0.70191,0.94035,0.73935,0.68515,0.71616,0.42903,0.97182,0.71579,0.96061,0.000414403,0.000414403,0.000414403
21,3502.26,0.93036,0.6967,0.90111,0.74268,0.59279,0.67842,0.41977,0.9675,0.74798,0.95086,0.00037774,0.00037774,0.00037774
22,3655.98,0.9238,0.682,0.89478,0.72467,0.68111,0.71144,0.43759,0.95242,0.71148,0.94567,0.000341077,0.000341077,0.000341077
23,3824.13,0.90975,0.64426,0.90745,0.79613,0.58919,0.67786,0.42828,0.94983,0.70589,0.93713,0.000304414,0.000304414,0.000304414
24,3976.48,0.88933,0.61647,0.8986,0.75278,0.60704,0.68845,0.43647,0.89804,0.67183,0.93274,0.000267751,0.000267751,0.000267751
25,4136.24,0.91472,0.63195,0.90721,0.7826,0.64073,0.71318,0.43858,0.89413,0.67299,0.92776,0.000231088,0.000231088,0.000231088
26,4288.13,0.88135,0.62684,0.88684,0.71103,0.68574,0.6985,0.44428,0.89241,0.67294,0.93165,0.000194425,0.000194425,0.000194425
27,4466.7,0.863,0.61348,0.88212,0.78972,0.67639,0.73868,0.45834,0.89411,0.66054,0.93002,0.000157762,0.000157762,0.000157762
28,4636.75,0.85696,0.60069,0.876,0.81202,0.65234,0.73047,0.45781,0.89916,0.64766,0.93378,0.000121099,0.000121099,0.000121099
29,4790.41,0.86196,0.63033,0.87964,0.80813,0.65263,0.73384,0.45983,0.88704,0.64095,0.93067,8.4436e-05,8.4436e-05,8.4436e-05
30,4950.33,0.81088,0.56956,0.8832,0.7557,0.69772,0.74751,0.4721,0.88101,0.62672,0.93134,4.7773e-05,4.7773e-05,4.7773e-05
